manufactor,Year,model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
אופל,2018,אסטרה,2,אוטומטית,1400,בנזין,,,בקעת אונו,גני תקווה,60000.0,1,2022-10-28,2022-10-28,"אופל אסטרה Enjoy, טורבו, 150 כוח סוס, מצב מצוין, גלגלי מגנזיום, טסט לשנה, יד שניה מפרטי (גם הראשונה פרטי).",,80000,
אופל,2016,אינסיגניה,3,אוטומטית,1998,בנזין,,,,תל יוסף,,1,2022-10-27,2022-10-27,"רכב אמין ביותר חסכוני במידה ולא מעירים את הנמר רכב גרמני חזק מאוד לאוהבי אנדרלין .רכב משפחתי נהדר תא מטען ענק ביותר נסיעה בנוחות ללא מאמץ כלל בקיצור רכב נהדר לאוהבי רכבי ספורט נפרד ממנו עקב שדרוג &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מזגן דיגיטלי קדימה אחורה , מערכת מולטימדיה משוכללת וגדולה מאוד , חישני רוורס ומצלמה מערכת מוזיקה בנוסף המחיר יכלול את הרדאר הטוב בעולם דור שני VALENTINE One 1 Gen 2 V1 POP 2 התרעה מעל שני קילומטר נגד מכמונות הדבורה כולל כיוון המכמונת ימין שמאל והכי חשוב מאחורי הרכב קולט אקדחי ליזר אפליקציה חכמה למצלמות גאטסו בקיצור מי שינהג ברכב יהיה מוגן לחלוטין מניסיון",,138000,
אופל,2015,אסטרה,2,אוטומטית,1400,בנזין,,,גדרה יבנה והסביבה,גדרה,23000.0,1,2022-10-25,2022-10-25,"מצב טוב. ללא תאונות. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; שליטה מההגה, בקרת שיוט, ניווט, מצלמת רברס, אימבילאי ועוד.",,152000,
אופל,2013,אסטרה,4,אוטומטית,1396,בנזין,,,נס ציונה - רחובות,רחובות,20000.0,1,2022-10-25,2022-10-25,רכב במצב מצויין נוח לנסיעה. מפרט מלא על הטיפולים שעבר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום,,176000,
אופל,2017,מוקה X,1,אוטומטית,1399,בנזין,,,אשדוד - אשקלון,אשדוד,69000.0,1,2022-10-23,2022-10-23,,,120000,
אופל,2016,אינסיגניה,3,אוטומטית,1998,בנזין,,,,תל יוסף,,1,2022-10-18,2022-10-18,"אופל אינסיגניה מנוע 2000 טורבו , רכב גרמני אורגנל אמין ביותר חסכוני מאוד כמובן עים לא מפעלים את החיה שבו מנוע עים 250 כוח סוס. נסיעה חלקה ונוחה מאוד ללא מאמץ טסט כמעט שנה הוחלף צמיגים , מצבר , רכב משפחתי מנהלים תא מטען ענק מאוד אצלי שנתיים כמעט ללא בעיות מוכר בצער עקב בעיות כספיות &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; בקרת אקלים דיגטלי אחורה קדימה חישני רוורס ומצלמה מערכת מוזיקה משוכללת ועוד..",,133000,
אופל,2018,קורסה,2,אוטומטית,1400,בנזין,,,תל אביב,תל אביב יפו,69000.0,1,2022-10-16,2022-10-16,"רכב שמור שעבר במשפחה, גג נפתח, מטופל בזמן, טופל רק במוסך מורשה, חסכוני בדלק ואמין, טסט לשנה(עד 10/23). הרכב ונקי מתקלות. על הרכב: מצלמת רוורס חדשה, 2 מפתחות(שלט רחוק), מערכת מולטימדיה חדשה כיסוי ריפודים איכותי מאוד. נמכר עקב מעבר לתל אביב(יש תו חניה לת""א לשנה).",,70000,
אופל,2015,אדם,1,רובוטית,1400,בנזין,,,גליל ועמקים,נצרת עילית,35500.0,1,2022-10-15,2022-10-15,"אופל אדם למכירה שנת 2015 מנוע 1400 רובוטית, דגם unlimited מאובזרת מאד מערכת מולטימדיה הכוללת אפל קארפליי/אנדרואיד אוטו מצלמת רוורס קילומטרז' 95000 יד ראשונה מהחברה רכב מדהים ביופיו שמור ברמה גבוהה מוכר עקב קבלת רכב מהעבודה מחירון משוקלל לוי יצחק 35,500 ש״ח גמיש לרצינים !",,95000,
אופל,2022,מוקה,1,אוטומטית,1600,חשמלי,,,,קפר קנא,,1,2022-10-15,2022-10-15,אחלה רכב לעוד ברטים 0548080556 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כול התספות האפשריות,,15000,
אופל,2022,מוקה,1,אוטומטית,1360,חשמלי,,,קריות,קרית חיים,167000.0,1,2022-03-10,2022-03-10,רכב בן 9 חודשים במצב מעולה נמכר עקב יציאה מהרץ &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; עמדת טעינה 32קווט. וכבל טעינה לעמדות בחוץ,,11600,
אופל,2012,אסטרה,4,אוטומטית,1400,בנזין,ליסינג,פרטית,רמלה - לוד,לוד,15000.0,1,2022-09-28,2022-09-28,"הרכב שמור ,מצב מכני מצוין",אפור עכבר,250000,
אופל,2014,אינסיגניה,3,אוטומטית,1600,בנזין,,,רמת גן - גבעתיים,רמת גן,31500.0,1,2022-09-23,2022-09-23,"רכב שמור ומטופל בזמן במוסך מרכזי של אופל.רכב יפייפה , נסיעה שקטה וחלקה.רכב מפנק מנהלים , לא צריך מרצדס האופל יותר טובה !!! מוכר את הרכב לרגל נסיעה לשוודיה לחצי שנה, ואין מי שינהג ברכב.הרציני הראשון יזכה ברכב שלי, באחריות !! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת שמע נדירה. מסך מולטימדיה מכוונן, מתאים את עצמו אוטומטית למצב הדרך, נוגד סנוור, צמיגים חדשים טסט לשנה, קילומטר נמוך מאוד.אורות בדלתות , ברגליים, מרווח מאוד .",,130000,
אופל,2013,קורסה,2,אוטומטית,1400,בנזין,,,טבריה והסביבה,מגאר,,1,2022-09-16,2022-09-16,,,125,
אופל,2014,קורסה,2,אוטומטית,1400,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,26900.0,1,2022-09-16,2022-09-16,"לבוא לקחת... התחייבות מלאה בבדיקת הקניה לגיר מנוע ושילדה. התחייבות לקנייה חוזרת עד 5 שנים. מגוון אפשרויות מימון עד 100% נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומחירים מיוחדים יינתנו בסניף, יחס אישי לכל לקוח שקיפות מלאה!!! מבחר ענק של רכבים נוספים ניתן לראות באתר של גרינקאר. לצאת עם רכב חדש באותו היום..",,,
אופל,2013,קורסה,3,אוטומטית,1400,בנזין,,,חיפה וחוף הכרמל,דאלית אל כרמל,13000.0,1,2022-11-09,2022-11-09,,,205000,
אופל,2017,אסטרה,1,אוטומטית,1600,טורבו דיזל,,,,כאבול,,1,2022-08-09,2022-08-09,"אופל אסטרה , שנת 2017, דיזל ,יד ראשונה , מצב מיכאני מצויין , טסט לשנה. אחרי טיפול גדול צמיגים חדשים.(רכב מאובזר ללימוד נהיגה)",,250000,
אופל,2017,אסטרה,2,טיפטרוניק,1400,בנזין,ליסינג,פרטית,חיפה וחוף הכרמל,חיפה,47500.0,3,2022-08-09,2022-08-09,"מעולה, חיישן סטייה מהכביש , מולטימדיה, 5 דלתות , 150 כ""ס , מאוד חזקה, מטופלת .",אפור מטאלי,112000,
אופל,2012,קורסה,1,ידנית,1400,בנזין,,,,קציר-חריש,13000.0,1,2022-08-09,2022-08-09,רכב במצב מעולה. שימש כרכב שני במשפחה מזגן עוצמתי. שמור ומטופח,,175000,
אופל,2021,קרוסלנד X,1,אוטומטית,1200,בנזין,,,"ראשל""צ והסביבה",באר יעקב,113000.0,1,2022-05-09,2022-05-09,"אופל קרוסלנד 2021 (דגם החדש לא x) שמור יד ראשונה מנוע 1.2 טורבו (האחות התאומה של פג’ו 2008 - אותו מנוע) חמש מקומות, גג פנורמי רמת בטיחות הכוללת בלימה אוטונומית, שטח מת במראות חיישני קירבה מסביב. חניה אוטומאטית. מצלמת רוורס + מעוף ציפור. רכב מפנק נמכר בעקבות קבלת רכב מהעבודה. מחיר גמיש. נ.ב לפי מחירון לוי יצחק",,17000,
אופל,2020,גרנדלנד X,2,אוטומטית,1500,דיזל,,,חיפה וחוף הכרמל,דאלית אל כרמל,,1,2022-03-09,2022-03-09,רכב שמור מטופל בחברה רכב אמין חיסכוני לא נסע הרבה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג שחור,,19000,
אופל,2011,קורסה,2,אוטומטית,1400,בנזין,,,נתניה והסביבה,נתניה,14000.0,1,2022-03-09,2022-03-09,רכב במצב מצוין נוסע כחדש שמור בקנאות טיפולים בזמן לבוא לקחת &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת אנדרואיד 9 אינץ כולל וויז יטיוב ושלל אפלקציות שימושיות,,148000,
אופל,2015,מריבה,2,אוטומטית,1364,בנזין,,,רמת גן - גבעתיים,רמת גן,20000.0,1,2022-01-09,2022-01-09,"רכב במצב טוב מאוד, עבר טיפול רציני",,164000,
אופל,1987,קדט,3,אוטומטית,1300,בנזין,,,קריות,קרית ביאליק,18000.0,1,2022-08-29,2022-08-29,רכב אספנות שמור מאוד לאחר טיפול יסודי כולל החלפת שמנים גיר ומנוע נוסע חלק אין נזילות ללא תאונות או מכות,,97000,
אופל,2016,מוקה,2,אוטומטית,1400,דיזל,,,"ראשל""צ והסביבה",ראשון לציון,57000.0,1,2022-08-28,2022-08-28,"רכב שמור, במצב מעולה, ללא תאונות, טיפולים תקופתיים במוסך מורשה. מערכת טורבו חדשה לגמרי. מוכר כי קיבלתי רכב מהעבודה.",,149000,
אופל,2011,אסטרה,2,ידנית,2000,טורבו דיזל,,,עמק יזרעאל,אליקים,,1,2022-08-25,2022-08-25,"רכב מצויין טורבו דיזל מטופל בחברה חסכוני מאוד 1/17 בממוצע צבע מקורי שימש את אשתי להגיע לעבודה , ידיים פרטיות אצלנו קרוב ל 5 שנים, רכב אמין וחזק מאוד, גיר ידני 6 הילוכים, נדיר.",,225000,
אופל,2012,אסטרה,1,אוטומטית,1400,בנזין,,,,קלנסווה,,1,2022-08-24,2022-08-24,רכב מטופל רכב תקין ללא תקלה איזי רכב טורבו צמיגים חדשים בטירה חדשה כל מיני חלקים חדשים מקורים,,208000,
אופל,2016,מוקה X,1,אוטומטית,1400,בנזין,,,רעננה - כפר סבא,כפר סבא,62000.0,1,2022-08-18,2022-08-18,"רכב יד 1 , שמור מתאונות , שמור מאוד, היה בבעלות פרטית בלבד. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רמת גימור ENJOY PLUS",,120000,
אופל,2011,קורסה,1,אוטומטית,1400,בנזין,פרטית,פרטית,"ראשל""צ והסביבה",באר יעקב,350.0,2,2020-03-05,2020-03-05,סליל הצתה לאופל קורסה 2011 חדש באריזה מתאים גם לדגמים דומים,אדום מטאלי,1000,
אופל,2016,אסטרה,2,אוטומטית,1300,בנזין,ליסינג,פרטית,חיפה וחוף הכרמל,טירת כרמל,32000.0,5,2022-08-15,2022-08-15,"רכב אופל אסטרה 2016 מאוד אמין וחסכוני בעל הרבה שטח מקום מאוד נוח במצב מעולה ללא שום פגע שמור מאוד. קילומטרז' 115,744 מגיע עם מערכת מולטימדיה חדשה בניילונים",שחור,115744,
אופל,2013,אסטרה,3,אוטומטית,1400,בנזין,,,מודיעין והסביבה,שוהם,22000.0,1,2022-10-08,2022-10-08,רכב במצב טוב מטופל וטסט 2/23,,148214,
אופל,2013,אסטרה,1,אוטומטית,1400,בנזין,,,תל אביב,תל אביב יפו,30000.0,1,2022-09-08,2022-09-08,"מצב מעולה, ללא תאונות, מטופל סדיר במוסך מורשה, רכב שני במשפחה, רישוי לשנה.",,102000,
אופל,2020,קורסה,1,אוטומטית,1200,בנזין,,,רמת השרון - הרצליה,רמת השרון,82000.0,1,2022-09-08,2022-09-08,דגם Edition Plus. נהג ונוסע יחיד. ללא תאונות. טופל לפי הספר במוסך מורשה יבואן קמק הרצליה.,,16500,
אופל,2015,אינסיגניה,2,אוטומטית,1600,בנזין,,,כרמיאל והסביבה,כרמיאל,40000.0,1,2022-06-08,2022-06-08,אופל אינסגניה שנת 2015 1600 טורבו 170 כוחות סוס,,120000,
אופל,2015,מוקה,1,אוטומטית,1600,בנזין,,,נתניה והסביבה,כפר יונה,52000.0,1,2022-05-08,2022-05-08,רכב מעולה עם סהכ כ60000 קמ,,61000,
אופל,2012,קורסה,3,אוטומטית,1400,בנזין,,,רמת גן - גבעתיים,רמת גן,,1,2022-03-08,2022-03-08,אופל קורסה שחורה שנת 2012 טסט עד 10.10.2022 / המחיר 16 אלף שקל /קילומטר נמוך 108.000 מושקעת מבחינה מכנית,,108,
אופל,2016,מוקה,2,אוטומטית,1400,בנזין,,,פתח תקוה והסביבה,פתח תקווה,67000.0,1,2022-07-31,2022-07-31,"שמורה ומטופלת בקפידה, 76,000 קמ, חסכונית, מצלמה, חיישני רוורס וסטייה מנתיב, צמיגים חדשים, ישיבה גבוהה ונוחה, טסט עד אפריל 2023. גמישות קלה במחיר לרציניים בלבד.",,76000,
אופל,2014,אסטרה,1,אוטומטית,1400,בנזין,,,אשדוד - אשקלון,אשקלון,34000.0,1,2022-07-30,2022-07-30,"רכב ללא תאונות נהג יחיד פנסיונר. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה 10"" מצלמה אחורית",,122000,
אופל,2020,קורסה,2,אוטומטית,1200,חשמלי,פרטית,פרטית,מושבים בשרון,תל מונד,105000.0,0,2024-01-25,2024-01-25,"100% חשמלית, תאוצה מדהימה, רכב זריז יפה וחכם",כחול כהה,74000,140
אופל,2012,קורסה,3,אוטומטית,1400,בנזין,,,חיפה וחוף הכרמל,דאלית אל כרמל,25000.0,1,2022-07-25,2022-07-25,,,255,
אופל,2013,אסטרה,2,אוטומטית,1400,בנזין,,,תל אביב,תל אביב יפו,29000.0,1,2022-07-15,2022-07-15,אופל ספורט שמור מאוד מטופל ללא תאונות או מכות יד 2 נסע 157אלף,,157000,
אופל,2014,אסטרה,1,אוטומטית,1364,בנזין,,,רמת גן - גבעתיים,גבעתיים,33000.0,1,2022-07-13,2022-07-13,יד ראשונה מרופא. רכב שמור ומטופל אך ורק במוסך מורשה. במצב מצויין!!רכב מציאה!!! &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מוטי מדיה,,141000,
אופל,2018,זאפירה,2,אוטומטית,1400,בנזין,,,יישובי השומרון,גן השומרון,75000.0,1,2022-12-07,2022-12-07,רכב גדול 7 מקומות נוח מאוד מטול ובמצב טוב מאוד קצת גמיש במחיר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מוביל איי,,101000,
אופל,2019,אדם,1,אוטומטית,1400,בנזין,,,באר שבע והסביבה,באר שבע,65000.0,1,2022-12-07,2022-12-07,,,6300,
אופל,2016,מוקה,1,אוטומטית,1800,בנזין,,,מודיעין והסביבה,מודיעין מכבים רעות,61000.0,1,2022-05-07,2022-05-07,"רכב שני במשפחה, לא נסע הרבה, מצב מעולה, ללא תאונות, דגם מפואר &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג נפתח",,105400,
אופל,2015,אסטרה,2,אוטומטית,1400,בנזין,,,חיפה וחוף הכרמל,אום אל פחם,21000.0,1,2022-06-30,2022-06-30,"רכב במצב מצויין מאוד עם אחריות 6 חודשים על מנוע ,, טורבו",,260000,
אופל,2021,גרנדלנד X,1,אוטומטית,1500,טורבו דיזל,,,טבריה והסביבה,קצרין,119000.0,1,2022-05-26,2022-05-26,במצב חדש עם כל התוספות.רמת בטיחות הכי גבוהה שיש.רק 12000 קמ &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מגיני רוח. כיסוי ראש אופל וכיסוי לחגורות אופל,,12000,
אופל,2015,זאפירה,3,אוטומטית,1364,בנזין,,,באר שבע והסביבה,אופקים,48150.0,1,2022-05-26,2022-05-26,רכב נח מאוד במצב מצוין. כל הטיפולים בזמן. עבר טיפול 10000 לפני חודש. טורבו חדש.גמיש.,,127000,
אופל,2013,קורסה,2,אוטומטית,1398,בנזין,,,רמת השרון - הרצליה,הרצליה,16500.0,1,2022-05-26,2022-05-26,טסט עד אפריל 2023 שני צמיגים אחוריים חדשים,,167000,
אופל,2017,אינסיגניה,1,אוטומטית,1998,בנזין,,,בקעת אונו,קרית אונו,85000.0,1,2022-05-23,2022-05-23,דגם קוסמו מפנק. מטופל היטב במוסך מורשה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דגם משודרג. חלון גג.,,115000,
אופל,2016,אסטרה,1,אוטומטית,1400,בנזין,פרטית,פרטית,מושבים בשרון,אבן יהודה,37000.0,1,2022-06-04,2022-06-04,שמורה מאוד מטופלת .,לבן,119000,
אופל,2015,קורסה,2,אוטומטית,1400,בנזין,,,רמת גן - גבעתיים,רמת גן,23000.0,1,2022-04-20,2022-04-20,"רכב שמור ביותר מבחוץ ובפנים, כל הטיפולים בזמן, נוסע יחיד. בעלים קודמים פרטי, נקי מתאונות. כל הקודם זוכה. טסט עד 9/22 טיפה גמיש לרצינים בלבד.",,135000,
אופל,2011,קורסה,1,ידנית,1400,בנזין,,,בקעת אונו,יהוד מונוסון,20000.0,1,2022-04-18,2022-04-18,מצב מכני מעולה יד ראשונה פרטי &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מולטימדיה,,58000,
אופל,2011,אינסיגניה,3,אוטומטית,2000,בנזין,ליסינג,פרטית,נתניה והסביבה,כפר יונה,28000.0,1,2022-03-24,2022-03-24,"למכירה אופל אינסיגניה שנתון 2011 אוטומט יד 02 129 אלף קילומטר מנוע 2000 טורבו, 220 כ״ס הרכב אחרי טיפול גדול, 2 צמיגים אחוריים חדשים! רכב במצב מעולה, טסט עד סוף שנה, רכב מפנק ומרווח מאוד.",כחול כהה מטאלי,129600,
אופל,2012,קורסה,2,אוטומטית,1200,בנזין,ליסינג,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,16000.0,4,2022-01-02,2022-01-02,"רכב שמור טופל רק במוסך מורשה (מתועד) עבר טיפול 10000 לא מזמן החלפת מצבר בורקסים, אצלי 4 שנים נהגת יחידה , מוכרת עקב קבלת רכב מהעבודה , לרציניים בלבד גמיש מעט!",אדום,197000,
אופל,2014,אינסיגניה,2,טיפטרוניק,1600,בנזין,ליסינג,פרטית,באר שבע והסביבה,באר שבע,34000.0,9,2021-12-24,2021-12-24,"רכב מעולה,מערכת מולטימדיה אנדרואיד,מצלמת דרך ,מצלמה אחורית רכב מצויין חזק ואמין",שחור,156000,
אופל,2012,אינסיגניה,2,אוטומטית,2000,בנזין,פרטית,פרטית,עכו - נהריה,עכו,22000.0,8,2021-04-29,2021-04-29,"המכונית במצב טוב מאוד. אני מטפל בזה כל 5000 ק""מ שאני מוכר את זה כי אני זקוק לכסף המכניקה של המכונית טובה מאוד, אתה יכול לבוא לבדוק את עצמך",שחור,200000,
אופל,2013,אסטרה,4,אוטומטית,1400,בנזין,ליסינג,ליסינג,גליל ועמקים,שפרעם,25.0,6,2023-08-30,2023-08-30,"רכב אלעלאא שפרעם אופל אסטרה 2013, מנוע 1400 טורבו , יד 04 ליסינג ,ק""מ 189,000.",אפור,189000,
אופל,2015,מריבה,2,אוטומטית,1400,בנזין,ליסינג,ליסינג,גליל ועמקים,שפרעם,27.0,5,2023-08-30,2023-08-30,רכב אלעלאא שפרעם,לבן,163000,
אופל,2014,מריבה,3,רובוטית,1600,חשמלי,חברה,לימוד נהיגה,תל אביב,תל אביב יפו,200000.0,0,2023-09-29,2023-09-29,"🏡💼**דרושים לעבודה ! הזדמנות להרוויח!** 📱💻 בכתיבה ללא ניסיון, העתק הדבק בקבוצות פייסבוקו באתרים, הזנת תוכן ונתונים, ועוד! שעות עבודה גמישות במהלך היום! (אין משמרות אתם עובדים בשעות שאתם רוצים!) 📝 **מה צריך לעשות - קורות חיים ניתן לשלוח בוואטספ 050-6158874❤️ **",בורדו מטאלי,20000,
אופל,2015,אסטרה,1,אוטומטית,1600,בנזין,ליסינג,ליסינג,חדרה וישובי עמק חפר,חדרה,14999.0,4,2023-02-06,2023-02-06,במצב מכני מצויין אפשרות תשלום בהוראת קבע,אפור,155000,
אופל,2004,קורסה,3,אוטומטית,1400,בנזין,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,2999.0,4,2023-03-23,2023-03-23,"אופל קורסה שנת 2004 . מחיר 2.999 ש""ח .... 130.000 ק""מ מאוד יפה ושמור . טסט 3 חודשים . הרכב מניע נוסע . המנוע חלש . כנראה מנוע לא תקין . ולכן המחיר נמוך . אך מנוע זול מאוד לתיקון . ויש לו טסט . והרכב שמור מאוד ויפה בלי מכות ובלי קילופים . רכב חסכוני מאוד מאוד מאוד לכן שווה לתקן .",אפור מטאלי,130000,
אופל,2019,אדם,2,רובוטית,1400,בנזין,פרטית,פרטית,חולון - בת ים,חולון,1.0,5,2023-02-14,2023-02-14,,לבן,50000,
אופל,2016,אסקונה,2,אוטומטית,1500,בנזין,חברה,פרטית,תל אביב,תל אביב יפו,10.0,0,2022-09-19,2022-09-19,"דרוש/ה נציג/ת שירות לקוחות-לא מוקד!! ללא מכירות!!שכר-48 לשעה, א-ה 8-17  הגשת מועמדות במייל - workingnowonline12@gmail.com",בורדו מטאלי,14,
אופל,2019,אדם,1,רובוטית,1400,בנזין,,,תל אביב,תל אביב יפו,65000.0,0,2022-09-13,2022-09-13,"רכב שמור עם ספר טיפולים עומד בחניון - לא בשמש עובר לחו""ל לכן מוכר זמין בוואטסאפ",,17500,
אופל,2014,קורסה החדשה,1,אוטומטית,1400,בנזין,,,ירושלים והסביבה,ירושלים,25000.0,0,2022-10-09,2022-10-09,"אופל קורסה יד ראשונה , מהחברה. טסט עד 04/2023. מחירון 28,000 . קיימת גמישות במחיר לא להתקשר בשבת &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גגון",,67000,
